,,,,,,,,,
,,,,,,,,,
Treat,Treatment,Assay,Replicate (cage),,Centroid,Line9-10,Angle7-8-9,Angle3-10-4,Angle2-4-8
mc_d1,Cold,Cold,1,Centroid,"1e-04 (0, 0.00019)","-2e-05 (-0.00019, 0.00014)","-0.00013 (-0.00038, 6e-05)","8e-05 (-6e-05, 0.00024)","-3e-05 (-9e-05, 3e-05)"
mc_d1,Cold,Cold,1,Line9-10,"-0.04 (-0.47, 0.46)","0.00177 (9e-04, 0.00264)","-0.00018 (-0.00083, 0.00043)","-0.00019 (-0.00061, 0.00022)","-2e-04 (-0.00041, -2e-05)"
mc_d1,Cold,Cold,1,Angle7-8-9,"-0.23 (-0.64, 0.17)","-0.08 (-0.35, 0.19)","0.00337 (0.00224, 0.00432)","0.00021 (-0.00033, 0.00066)","-5e-05 (-0.00027, 0.00017)"
mc_d1,Cold,Cold,1,Angle3-10-4,"0.22 (-0.17, 0.68)","-0.12 (-0.36, 0.16)","0.09 (-0.11, 0.31)","0.00161 (0.00111, 0.00209)","-0.00021 (-0.00036, -6e-05)"
mc_d1,Cold,Cold,1,Angle2-4-8,"-0.25 (-0.76, 0.17)","-0.33 (-0.64, -0.06)","-0.05 (-0.32, 0.22)","-0.37 (-0.59, -0.13)","0.00021 (0.00011, 0.00031)"
mc_d2,Cold,Cold,2,Centroid,"0.00029 (0.00013, 0.00049)","-5e-05 (-0.00027, 0.00026)","-1e-05 (-0.00029, 0.00025)","-0.00042 (-0.00065, -0.00019)","9e-05 (1e-05, 0.00018)"
mc_d2,Cold,Cold,2,Line9-10,"-0.06 (-0.41, 0.22)","0.00258 (0.00163, 0.0035)","0.00034 (-0.00026, 0.00102)","0.00042 (-0.00015, 0.00088)","-0.00034 (-0.00056, -0.00015)"
mc_d2,Cold,Cold,2,Angle7-8-9,"-0.03 (-0.38, 0.28)","0.14 (-0.12, 0.41)","0.00235 (0.00147, 0.0034)","8e-05 (-0.00042, 0.00069)","-0.00012 (-0.00034, 6e-05)"
mc_d2,Cold,Cold,2,Angle3-10-4,"-0.64 (-0.88, -0.41)","0.22 (-0.06, 0.47)","0.05 (-0.23, 0.37)","0.00151 (0.00079, 0.00215)","-0.00032 (-0.00046, -0.00013)"
mc_d2,Cold,Cold,2,Angle2-4-8,"0.3 (0.03, 0.58)","-0.38 (-0.6, -0.2)","-0.15 (-0.4, 0.08)","-0.47 (-0.69, -0.27)","0.00031 (0.00022, 0.00039)"
mc_d3,Cold,Cold,3,Centroid,"0.00012 (0, 0.00027)","6e-05 (-0.00011, 0.00027)","0 (-0.00022, 2e-04)","-2e-05 (-2e-04, 0.00015)","2e-05 (-6e-05, 8e-05)"
mc_d3,Cold,Cold,3,Line9-10,"0.14 (-0.32, 0.68)","0.0018 (0.001, 0.00263)","0.00085 (0.00028, 0.00137)","-6e-05 (-5e-04, 4e-04)","0.00012 (-5e-05, 0.00028)"
mc_d3,Cold,Cold,3,Angle7-8-9,"0.02 (-0.51, 0.48)","0.43 (0.15, 0.67)","0.00237 (0.00143, 0.00329)","0.00015 (-0.00029, 0.00069)","4e-05 (-0.00012, 0.00023)"
mc_d3,Cold,Cold,3,Angle3-10-4,"-0.04 (-0.5, 0.48)","-0.03 (-0.29, 0.24)","0.08 (-0.2, 0.33)","0.00165 (0.00112, 0.00226)","-0.00032 (-0.00047, -0.00018)"
mc_d3,Cold,Cold,3,Angle2-4-8,"0.07 (-0.34, 0.57)","0.18 (-0.07, 0.43)","0.06 (-0.19, 0.26)","-0.49 (-0.66, -0.33)","0.00026 (0.00019, 0.00033)"
mc_d4,Cold,Cold,4,Centroid,"0.00024 (0, 4e-04)","-1e-05 (-0.00023, 0.00024)","-3e-05 (-3e-04, 0.00021)","-8e-05 (-3e-04, 1e-04)","2e-05 (-5e-05, 9e-05)"
mc_d4,Cold,Cold,4,Line9-10,"-0.01 (-0.38, 0.34)","0.00225 (0.00146, 0.0032)","0.00045 (-0.00019, 0.00105)","0.00053 (6e-05, 0.00098)","-0.00023 (-0.00041, -9e-05)"
mc_d4,Cold,Cold,4,Angle7-8-9,"-0.04 (-0.36, 0.31)","0.18 (-0.09, 0.4)","0.00307 (0.00211, 0.00404)","-0.00021 (-0.00064, 0.00031)","-1e-04 (-0.00026, 6e-05)"
mc_d4,Cold,Cold,4,Angle3-10-4,"-0.12 (-0.49, 0.18)","0.29 (0.02, 0.53)","-0.1 (-0.31, 0.12)","0.00168 (0.00112, 0.00229)","-0.00014 (-0.00027, -1e-05)"
mc_d4,Cold,Cold,4,Angle2-4-8,"0.08 (-0.24, 0.43)","-0.34 (-0.55, -0.12)","-0.12 (-0.34, 0.06)","-0.23 (-0.43, -0.02)","0.00022 (0.00016, 0.00029)"
mc_d5,Cold,Cold,5,Centroid,"0.00011 (1e-05, 0.00019)","2e-04 (3e-05, 0.00038)","0.00018 (-2e-05, 0.00038)","-6e-05 (-2e-04, 6e-05)","-3e-05 (-9e-05, 2e-05)"
mc_d5,Cold,Cold,5,Line9-10,"0.43 (0.1, 0.78)","0.00216 (0.00132, 0.00301)","0.00024 (-0.00048, 0.00084)","-3e-05 (-0.00047, 0.00043)","-0.00011 (-0.00028, 5e-05)"
mc_d5,Cold,Cold,5,Angle7-8-9,"0.31 (0.03, 0.71)","0.1 (-0.16, 0.35)","0.00319 (0.00203, 0.00425)","-0.00026 (-0.00075, 2e-04)","-5e-05 (-0.00022, 0.00014)"
mc_d5,Cold,Cold,5,Angle3-10-4,"-0.16 (-0.59, 0.19)","-0.02 (-0.31, 0.29)","-0.15 (-0.43, 0.11)","0.00107 (0.00055, 0.0016)","-0.00016 (-0.00031, -3e-05)"
mc_d5,Cold,Cold,5,Angle2-4-8,"-0.22 (-0.54, 0.14)","-0.15 (-0.38, 0.06)","-0.06 (-0.25, 0.17)","-0.32 (-0.55, -0.09)","0.00024 (0.00017, 0.00031)"
mc_u1,Cold,Hot,1,Centroid,"2e-04 (8e-05, 0.00032)","0.00012 (-6e-05, 0.00032)","-0.00012 (-0.00031, 1e-04)","-6e-05 (-0.00022, 8e-05)","2e-05 (-4e-05, 9e-05)"
mc_u1,Cold,Hot,1,Line9-10,"0.27 (-0.16, 0.66)","0.001 (0, 0.00183)","0.00023 (-0.00029, 0.00084)","-5e-05 (-0.00043, 0.00028)","4e-05 (-0.00012, 2e-04)"
mc_u1,Cold,Hot,1,Angle7-8-9,"-0.19 (-0.52, 0.15)","0.15 (-0.22, 0.6)","0.00226 (0.00137, 0.00315)","2e-05 (-0.00045, 0.00042)","-0.00025 (-0.00042, -7e-05)"
mc_u1,Cold,Hot,1,Angle3-10-4,"-0.14 (-0.5, 0.26)","-0.07 (-0.52, 0.35)","0.03 (-0.31, 0.34)","0.00085 (0.00039, 0.00132)","-8e-05 (-0.00021, 4e-05)"
mc_u1,Cold,Hot,1,Angle2-4-8,"0.1 (-0.17, 0.4)","0.08 (-0.23, 0.48)","-0.32 (-0.52, -0.1)","-0.17 (-0.46, 0.06)","0.00027 (0.00021, 0.00035)"
mc_u2,Cold,Hot,2,Centroid,"0.00016 (0, 0.00028)","-0.00014 (-0.00037, 7e-05)","0.00011 (-9e-05, 0.00033)","-0.00019 (-0.00036, 1e-05)","3e-05 (-3e-05, 8e-05)"
mc_u2,Cold,Hot,2,Line9-10,"-0.25 (-0.61, 0.16)","0.00253 (0.00153, 0.00359)","0.00044 (-2e-04, 0.00099)","0.00054 (0.00011, 0.00099)","4e-05 (-0.00014, 0.00021)"
mc_u2,Cold,Hot,2,Angle7-8-9,"0.18 (-0.22, 0.52)","0.18 (-0.09, 0.41)","0.00244 (0.00171, 0.00321)","0.00013 (-0.00028, 0.00057)","1e-05 (-0.00014, 0.00018)"
mc_u2,Cold,Hot,2,Angle3-10-4,"-0.44 (-0.8, -0.12)","0.32 (0.06, 0.59)","0.08 (-0.16, 0.34)","0.0012 (0.00074, 0.00164)","-0.00011 (-0.00023, 2e-05)"
mc_u2,Cold,Hot,2,Angle2-4-8,"0.18 (-0.22, 0.59)","0.06 (-0.24, 0.38)","0.02 (-0.24, 0.3)","-0.27 (-0.52, 0.04)","0.00015 (8e-05, 0.00022)"
mc_u3,Cold,Hot,3,Centroid,"0.00015 (0, 0.00028)","7e-05 (-0.00014, 0.00033)","-3e-05 (-0.00019, 0.00014)","-0.00013 (-0.00032, 5e-05)","1e-05 (-4e-05, 6e-05)"
mc_u3,Cold,Hot,3,Line9-10,"0.12 (-0.31, 0.56)","0.0023 (0.00086, 0.0036)","0.00011 (-0.00045, 0.00069)","-1e-05 (-0.00057, 0.00054)","5e-05 (-0.00016, 0.00022)"
mc_u3,Cold,Hot,3,Angle7-8-9,"-0.08 (-0.49, 0.4)","0.07 (-0.26, 0.44)","0.00123 (0.00054, 0.0019)","0.00016 (-0.00022, 0.00059)","3e-05 (-0.00012, 0.00014)"
mc_u3,Cold,Hot,3,Angle3-10-4,"-0.3 (-0.71, 0.07)","-0.03 (-0.37, 0.35)","0.14 (-0.23, 0.44)","0.00122 (7e-04, 0.00179)","-0.00013 (-0.00025, -1e-05)"
mc_u3,Cold,Hot,3,Angle2-4-8,"0.03 (-0.4, 0.43)","0.09 (-0.23, 0.45)","0.07 (-0.24, 0.37)","-0.31 (-0.58, -0.03)","0.00015 (9e-05, 0.00022)"
mc_u4,Cold,Hot,4,Centroid,"0.00033 (0.00013, 0.00057)","-0.00011 (-0.00045, 0.00019)","2e-05 (-0.00023, 3e-04)","-2e-04 (-0.00039, -3e-05)","-1e-05 (-8e-05, 7e-05)"
mc_u4,Cold,Hot,4,Line9-10,"-0.13 (-0.5, 0.27)","0.0022 (0.00088, 0.00363)","-0.00011 (-8e-04, 0.00055)","0.00027 (-0.00021, 8e-04)","1e-05 (-0.00017, 2e-04)"
